,0
0,LKCSB GSR 1-1
1,LKCSB GSR 1-2
2,LKCSB GSR 2-1
3,LKCSB GSR 2-10
4,LKCSB GSR 2-11
5,LKCSB GSR 2-12
6,LKCSB GSR 2-13
7,LKCSB GSR 2-14
8,LKCSB GSR 2-15
9,LKCSB GSR 2-16
10,LKCSB GSR 2-17
11,LKCSB GSR 2-18
12,LKCSB GSR 2-19
13,LKCSB GSR 2-2
14,LKCSB GSR 2-20
15,LKCSB GSR 2-21
16,LKCSB GSR 2-22
17,LKCSB GSR 2-23
18,LKCSB GSR 2-24
19,LKCSB GSR 2-25
20,LKCSB GSR 2-3
21,LKCSB GSR 2-4
22,LKCSB GSR 2-5
23,LKCSB GSR 2-6
24,LKCSB GSR 2-7
25,LKCSB GSR 2-8
26,LKCSB GSR 2-9
27,LKCSB GSR 3-1
28,LKCSB GSR 3-11
29,LKCSB GSR 3-12
30,LKCSB GSR 3-13
31,LKCSB GSR 3-14
32,LKCSB GSR 3-15
33,LKCSB GSR 3-16
34,LKCSB GSR 3-17
35,LKCSB GSR 3-18
36,LKCSB GSR 3-19
37,LKCSB GSR 3-2
38,LKCSB GSR 3-20
39,LKCSB GSR 3-21
40,LKCSB GSR 3-22
41,LKCSB GSR 3-23
42,LKCSB GSR 3-24
43,LKCSB GSR 3-25
44,LKCSB GSR 3-26
45,LKCSB GSR 3-27
46,LKCSB GSR 3-28
47,LKCSB GSR 3-29
48,LKCSB GSR 3-3
49,LKCSB GSR 3-30
50,LKCSB GSR 3-31
51,LKCSB GSR 3-32
52,LKCSB GSR 3-33
53,LKCSB GSR 3-34
54,LKCSB GSR 3-35
55,LKCSB GSR 3-4
56,LKCSB GSR 3-5
57,LKCSB GSR 3-6
58,LKCSB GSR 3-7
59,LKCSB GSR 3-8
60,LKCSB GSR 3-9
